bin,bin_lower,bin_upper,row_count,mean_confidence,observed_accuracy,calibration_gap
1,0.0,0.1,0,,,
2,0.1,0.2,19918,0.17249235949503242,0.17321016166281755,0.0007178021677851365
3,0.2,0.30000000000000004,33893,0.24566603522135727,0.24943203611365178,0.0037660008922945076
4,0.30000000000000004,0.4,20405,0.34642074231593983,0.35584415584415585,0.009423413528216018
5,0.4,0.5,13834,0.44675108790336104,0.47079658811623537,0.024045500212874327
6,0.5,0.6000000000000001,8206,0.5451053928612964,0.5778698513282964,0.032764458466999935
7,0.6000000000000001,0.7000000000000001,3825,0.642263130394194,0.6886274509803921,0.046364320586198104
8,0.7000000000000001,0.8,1704,0.742516793274655,0.7799295774647887,0.03741278419013372
9,0.8,0.9,557,0.8436803613359624,0.8797127468581688,0.036032385522206445
10,0.9,1.0,8,0.9131760905834003,0.875,-0.038176090583400324
