feature,mean_absolute_shap,rank
f4,0.34250572,1
f12,0.16269304,2
f13,0.13860586,3
f15,0.110259116,4
f3,0.09239263,5
f0,0.067462385,6
f65,0.06268548,7
f64,0.057920944,8
f14,0.050321374,9
f11,0.0490625,10
f53,0.046036616,11
f2,0.040560868,12
f40,0.03509552,13
f39,0.033441536,14
f61,0.033208035,15
f21,0.031949133,16
f20,0.031825747,17
f45,0.03054119,18
f37,0.029853992,19
f6,0.029753782,20
f54,0.029353116,21
f31,0.027926987,22
f34,0.027195252,23
f69,0.027072495,24
f59,0.025835387,25
f29,0.025759587,26
f66,0.025302447,27
f49,0.024894468,28
f33,0.024735982,29
f44,0.024301166,30
f35,0.024005556,31
f32,0.023272447,32
f38,0.023250971,33
f30,0.02284069,34
f17,0.022692244,35
f48,0.022249863,36
f24,0.021896629,37
f58,0.021851813,38
f51,0.0214787,39
f5,0.021382382,40
f55,0.021244291,41
f41,0.021059498,42
f23,0.020938478,43
f16,0.020727841,44
f10,0.0196091,45
f8,0.01851961,46
f47,0.018458955,47
f46,0.018443575,48
f27,0.018227745,49
f67,0.018097958,50
f52,0.017826911,51
f26,0.017563079,52
f28,0.01680658,53
f50,0.01652684,54
f62,0.016521191,55
f42,0.015425771,56
f43,0.015250959,57
f60,0.014649383,58
f36,0.014582404,59
f9,0.014454165,60
f57,0.012752062,61
f25,0.011763234,62
f56,0.0112159215,63
f7,0.008619864,64
f19,0.007978348,65
f68,0.006931218,66
f18,0.006887792,67
f1,0.0037168951,68
f63,0.003530481,69
f22,0.0032475437,70
